; Gavin co-immunoprecipitation dataset
CBC2	NAB3
CBC2	NPL3
CBC2	NRD1
CBC2	PAB1
CBC2	PRP8
CBC2	RSE1
CBC2	SMD2
CBC2	SNP1
CBC2	SNU56
CBC2	TIF4632
NAB3	PAB1
NAB3	SEN1
NAB3	PAP2
LEA1	HSH155
LEA1	MSL1
LEA1	PRP8
LEA1	PRP9
LEA1	RSE1
LEA1	SMD2
LEA1	SMD3
PRP4	PRP6
PRP4	SNU23
PRP4	SNU66
URA7	EFT1
URA7	PSA1
URA7	TUB1
PSA1	ACC1
PSA1	EFT1
PSA1	GCN20
PSA1	GFA1
PSA1	HSP60
PSA1	ILV1
PSA1	RPL18A
PSA1	RVB2
PSA1	TUB3
TRM3	FAS1
ARO3	ILV5
ARO1	EFT1
ARO1	GFA1
ARO1	HSC82
ARO1	PFK1
ARO1	PSA1
ARO1	RVB2
ARO1	TUB1
ARO1	YHB1
MSN5	GFA1
MSN5	PSA1
MSN5	TUB1
ILV1	HSP60
ILV1	TUB1
SEC53	RVB2
SEC53	TUB1
GCN20	GCN1
SAP155	GCN20
SAP155	ILV1
SAP155	MAE1
SAP155	PSA1
SAP155	TFP1
SAP155	TUB3
GCN1	GFA1
GCN1	PSA1
GCN1	SEC53
GCN1	TUB1
CSE1	RPS0A
ADE3	PSA1
RPS0A	ARO1
RPS0A	HSP60
RPS0A	PFK1
RPS0A	TUB1
YHB1	CCT6
YHB1	EFT1
YHB1	GCN1
YHB1	GCN20
YHB1	GFA1
YHB1	MDN1
YHB1	RPS0A
YHB1	TUB1
YHB1	PSA1
PRS3	HSP60
PRS3	RPL30
PRS3	RPS0A
PRS3	EFT1
PRS3	GFA1
PRS3	HSC82
PRS3	PSA1
PRS3	TUB1
FUR1	PSA1
FUR1	TUB1
MAE1	ACC1
MAE1	ARO1
MAE1	CCT4
MAE1	CCT6
MAE1	EFT1
MAE1	FAS1
MAE1	GCN1
MAE1	GCN20
MAE1	GEA2
MAE1	GFA1
MAE1	ILS1
MAE1	ILV1
MAE1	MDN1
MAE1	MSN5
MAE1	PRS3
MAE1	PSA1
MAE1	RPL30
MAE1	RPS0A
MAE1	TFP1
MAE1	TOM1
MAE1	TUB1
MAE1	TUB3
MAE1	URA7
YNK1	PSA1
YNK1	RPL30
DPS1	PSA1
VPS13	TUB1
VPS13	EFT1
VPS13	GCN20
VPS13	GFA1
VPS13	PSA1
VPS13	TFP1
MDN1	PSA1
ACS2	EFT1
ACS2	HSP60
ACS2	MDN1
ACS2	PSA1
ACS2	RNR1
ACS2	RPS0A
ACS2	TUB1
ACS2	TUB3
TUB3	CCT6
TUB3	EFT1
TUB3	FAS1
TUB3	GCN1
TUB3	GCN20
TUB3	GFA1
TUB3	HSP60
TUB3	MDN1
TUB3	TFP1
TUB3	TUB1
RPL18A	DPS1
RPL18A	EFT1
RPL18A	GFA1
RPL18A	ILV1
RPL18A	TUB3
RVB2	EFT1
RVB2	FUR1
RVB2	GCN1
RVB2	GCN20
RVB2	GFA1
RVB2	HSC82
RVB2	ILS1
RVB2	ILV1
RVB2	MAE1
RVB2	RPL30
RVB2	RPS0A
RVB2	TUB1
SNX41	SLA2
SNX41	SNX4
SNX4	ATG20
BOI1	PAB1
TIF4632	CDC33
YGR250C	PAB1
SGN1	PAB1
SGN1	SRV2
SGN1	TDH3
SGN1	TIF4632
SGN1	YGR250C
CYR1	SRV2
NAB6	PAB1
NRD1	NAB6
CDC33	PAB1
VMA2	RAV1
VMA2	TFP1
VMA2	VMA10
VMA2	VMA5
VMA2	VMA6
VMA5	TFP1
VMA5	VMA4
VMA4	RAV1
VMA4	TFP1
VMA4	VMA2
HCA4	RPS4A
YOR1	VPH1
TCB3	BNI1
TCB3	PDC1
TCB3	PGK1
TCB3	RPS17A
VPH1	PDC1
HSP42	GLN1
PBP1	LSM12
PBP1	RPP0
LSM12	ENO2
LSM12	HSP42
RTN1	PEP4
TUB3	RPT3
MAK5	RPL30
MAK5	RPS24B
MAK5	RPS22B
ENP1	EMG1
ENP1	IMP3
ENP1	IMP4
ENP1	KRR1
ENP1	NOB1
ENP1	NOC4
ENP1	RPS11A
ENP1	RPS13
ENP1	RPS14A
ENP1	RPS17B
ENP1	RPS18A
ENP1	RPS24B
