; compare-graphs  -Q regulonDB_stringcoex/data/stringcoex_regulonDB_induced.tab -wcol_Q 3 -R /bio/shared_projects/coregulation_networks/Bacteria/Escherichia_coli_K12_20071108/data/regulonDB/200710/gene_gene_filtered.tab -return intersection+Q -o regulonDB_stringcoex/results/regulonDB_cg_stringcoex_inter-Q.tab -arc_id -outweight Q -null NA -v 1
; Input files
;	graph_R	/bio/shared_projects/coregulation_networks/Bacteria/Escherichia_coli_K12_20071108/data/regulonDB/200710/gene_gene_filtered.tab
;	graph_Q	regulonDB_stringcoex/data/stringcoex_regulonDB_induced.tab
; Output files
;	output	regulonDB_stringcoex/results/regulonDB_cg_stringcoex_inter-Q.tab
;	Comparaison statistics
;	Reference graph        	/bio/shared_projects/coregulation_networks/Bacteria/Escherichia_coli_K12_20071108/data/regulonDB/200710/gene_gene_filtered.tab
;		R nodes       	1358
;		R arcs        	170268
;	Query graph            	regulonDB_stringcoex/data/stringcoex_regulonDB_induced.tab
;		Q nodes       	764
;		Q arcs        	3536
;	Intersection
;		inter nodes   	764
;		inter arcs    	1577
;		inter arcs P-val	1.35081e-278
;	Union
;		union nodes   	1358
;		union arcs    	172227
;		union max arcs	921403
;	Reference not query
;		R.not.Q nodes 	594
;		R.not.Q arcs  	168691
;	Query not reference
;		Q.not.R nodes 	0
;		Q.not.R arcs  	1959
#source	target	label	color	arc_id	attribute
insK	nrfG	214	#ff0000	insK_nrfG	Q.not.R
bglF	melR	476	#228b22	bglF_melR	R.and.Q
icd	hupA	499	#ff0000	icd_hupA	Q.not.R
adhE	gapA	187	#228b22	adhE_gapA	R.and.Q
rhaR	phnG	170	#ff0000	rhaR_phnG	Q.not.R
dnaN	ssb	156	#ff0000	dnaN_ssb	Q.not.R
rpsP	rplM	157	#228b22	rpsP_rplM	R.and.Q
sucC	cyoB	179	#228b22	sucC_cyoB	R.and.Q
ilvB	ilvD	109	#ff0000	ilvB_ilvD	Q.not.R
acrF	rhaS	204	#ff0000	acrF_rhaS	Q.not.R
ftsZ	gatA	185	#ff0000	ftsZ_gatA	Q.not.R
htrE	agaI	225	#ff0000	htrE_agaI	Q.not.R
cysC	cysG	60	#ff0000	cysC_cysG	Q.not.R
paaC	hyfG	263	#228b22	paaC_hyfG	R.and.Q
tdcB	ecpD	199	#228b22	tdcB_ecpD	R.and.Q
yiaN	xylB	157	#228b22	yiaN_xylB	R.and.Q
alsB	idnD	421	#ff0000	alsB_idnD	Q.not.R
gltI	gltA	214	#ff0000	gltI_gltA	Q.not.R
gspF	insK	471	#ff0000	gspF_insK	Q.not.R
trxA	crp	204	#228b22	trxA_crp	R.and.Q
aceE	infB	168	#228b22	aceE_infB	R.and.Q
gltI	ompF	404	#ff0000	gltI_ompF	Q.not.R
acrF	yiaL	330	#ff0000	acrF_yiaL	Q.not.R
hyfB	yhdZ	151	#ff0000	hyfB_yhdZ	Q.not.R
acrF	ulaG	163	#ff0000	acrF_ulaG	Q.not.R
guaB	purF	421	#228b22	guaB_purF	R.and.Q
dppF	rbsB	152	#ff0000	dppF_rbsB	Q.not.R
agaB	adiA	151	#ff0000	agaB_adiA	Q.not.R
pykF	glyA	532	#ff0000	pykF_glyA	Q.not.R
sdhA	acnA	79	#228b22	sdhA_acnA	R.and.Q
tdcD	yiaM	151	#228b22	tdcD_yiaM	R.and.Q
glpD	sucC	55	#228b22	glpD_sucC	R.and.Q
gltL	gltK	272	#228b22	gltL_gltK	R.and.Q
cspD	ompF	159	#ff0000	cspD_ompF	Q.not.R
gspF	melB	152	#ff0000	gspF_melB	Q.not.R
tar	cheW	417	#ff0000	tar_cheW	Q.not.R
eda	rseA	171	#ff0000	eda_rseA	Q.not.R
phnL	lysU	179	#ff0000	phnL_lysU	Q.not.R
yiaM	xylF	256	#228b22	yiaM_xylF	R.and.Q
flgI	glpK	181	#ff0000	flgI_glpK	Q.not.R
yhdZ	yhdX	336	#228b22	yhdZ_yhdX	R.and.Q
ilvH	ilvB	40	#ff0000	ilvH_ilvB	Q.not.R
rpsI	hupA	332	#ff0000	rpsI_hupA	Q.not.R
glnH	cysK	191	#ff0000	glnH_cysK	Q.not.R
adiA	tdcB	185	#228b22	adiA_tdcB	R.and.Q
insK	rhaD	195	#ff0000	insK_rhaD	Q.not.R
ihfB	glnP	357	#228b22	ihfB_glnP	R.and.Q
melA	ytfE	490	#ff0000	melA_ytfE	Q.not.R
rbsR	rbsC	187	#228b22	rbsR_rbsC	R.and.Q
sucB	sucA	687	#228b22	sucB_sucA	R.and.Q
melB	malS	217	#228b22	melB_malS	R.and.Q
nirC	cadC	259	#228b22	nirC_cadC	R.and.Q
bglF	nanC	161	#228b22	bglF_nanC	R.and.Q
cvpA	pyrD	336	#228b22	cvpA_pyrD	R.and.Q
gcvT	glyA	39	#228b22	gcvT_glyA	R.and.Q
ybbW	tdcB	203	#ff0000	ybbW_tdcB	Q.not.R
nrfG	cadC	256	#228b22	nrfG_cadC	R.and.Q
hyfB	hyfC	250	#228b22	hyfB_hyfC	R.and.Q
flhA	fliC	32	#ff0000	flhA_fliC	Q.not.R
cyoA	sucA	191	#228b22	cyoA_sucA	R.and.Q
yccA	hupA	204	#ff0000	yccA_hupA	Q.not.R
bglF	uxuR	247	#228b22	bglF_uxuR	R.and.Q
ompF	hns	228	#ff0000	ompF_hns	Q.not.R
eda	rimM	163	#ff0000	eda_rimM	Q.not.R
yjcH	actP	279	#228b22	yjcH_actP	R.and.Q
prpD	prpE	71	#228b22	prpD_prpE	R.and.Q
skp	rimM	266	#ff0000	skp_rimM	Q.not.R
xylR	cadC	310	#ff0000	xylR_cadC	Q.not.R
nuoM	nuoN	681	#228b22	nuoM_nuoN	R.and.Q
bglB	cadA	310	#228b22	bglB_cadA	R.and.Q
melA	melB	541	#228b22	melA_melB	R.and.Q
hyi	yhdX	269	#ff0000	hyi_yhdX	Q.not.R
malS	ubiA	171	#ff0000	malS_ubiA	Q.not.R
yiaN	idnK	490	#228b22	yiaN_idnK	R.and.Q
argB	carA	206	#228b22	argB_carA	R.and.Q
tdcD	yiaK	179	#228b22	tdcD_yiaK	R.and.Q
nanC	tdcC	199	#228b22	nanC_tdcC	R.and.Q
eda	edd	345	#228b22	eda_edd	R.and.Q
rbsB	aceK	217	#228b22	rbsB_aceK	R.and.Q
nuoE	nuoH	370	#228b22	nuoE_nuoH	R.and.Q
fliO	fliM	435	#228b22	fliO_fliM	R.and.Q
rseA	gltD	179	#ff0000	rseA_gltD	Q.not.R
cadC	ulaA	395	#ff0000	cadC_ulaA	Q.not.R
acnB	prpE	33	#228b22	acnB_prpE	R.and.Q
nuoI	nuoN	541	#228b22	nuoI_nuoN	R.and.Q
yjbE	ulaA	191	#228b22	yjbE_ulaA	R.and.Q
lpxD	nuoJ	159	#ff0000	lpxD_nuoJ	Q.not.R
cheA	motB	302	#228b22	cheA_motB	R.and.Q
malS	phnC	168	#ff0000	malS_phnC	Q.not.R
hyfG	scpC	504	#228b22	hyfG_scpC	R.and.Q
hyfD	chiA	157	#ff0000	hyfD_chiA	Q.not.R
uhpT	cadA	374	#ff0000	uhpT_cadA	Q.not.R
xylH	treC	209	#228b22	xylH_treC	R.and.Q
rpmC	rplP	219	#228b22	rpmC_rplP	R.and.Q
hyi	nanT	447	#ff0000	hyi_nanT	Q.not.R
fixA	agaD	494	#ff0000	fixA_agaD	Q.not.R
gspF	idnK	231	#ff0000	gspF_idnK	Q.not.R
cadC	nrfB	183	#228b22	cadC_nrfB	R.and.Q
pykF	nuoK	228	#ff0000	pykF_nuoK	Q.not.R
uhpT	bglG	250	#228b22	uhpT_bglG	R.and.Q
yiaM	phnC	404	#ff0000	yiaM_phnC	Q.not.R
rhaA	idnK	253	#228b22	rhaA_idnK	R.and.Q
hupA	sucB	185	#228b22	hupA_sucB	R.and.Q
mhpB	nanC	259	#228b22	mhpB_nanC	R.and.Q
pck	frdA	282	#ff0000	pck_frdA	Q.not.R
malG	sgbH	152	#228b22	malG_sgbH	R.and.Q
tyrA	aroF	733	#228b22	tyrA_aroF	R.and.Q
mhpB	agaD	193	#ff0000	mhpB_agaD	Q.not.R
nuoF	nuoL	391	#228b22	nuoF_nuoL	R.and.Q
phnM	treC	195	#ff0000	phnM_treC	Q.not.R
oppD	oppF	620	#228b22	oppD_oppF	R.and.Q
cysG	cysH	73	#228b22	cysG_cysH	R.and.Q
fixA	scpC	238	#228b22	fixA_scpC	R.and.Q
astC	argF	40	#228b22	astC_argF	R.and.Q
prpR	gspI	256	#ff0000	prpR_gspI	Q.not.R
alsB	fimE	187	#ff0000	alsB_fimE	Q.not.R
ompA	rplT	443	#ff0000	ompA_rplT	Q.not.R
agaS	kbaZ	201	#228b22	agaS_kbaZ	R.and.Q
sgbE	alsC	206	#ff0000	sgbE_alsC	Q.not.R
nrfE	ulaA	269	#228b22	nrfE_ulaA	R.and.Q
sgbE	phnG	256	#ff0000	sgbE_phnG	Q.not.R
alsB	alsC	345	#228b22	alsB_alsC	R.and.Q
metB	metK	48	#228b22	metB_metK	R.and.Q
cydA	adhE	310	#228b22	cydA_adhE	R.and.Q
yjbE	phnM	201	#ff0000	yjbE_phnM	Q.not.R
ompA	rpsQ	179	#ff0000	ompA_rpsQ	Q.not.R
nuoK	rseB	263	#ff0000	nuoK_rseB	Q.not.R
nanC	yjiD	310	#ff0000	nanC_yjiD	Q.not.R
ahpC	rpsU	191	#ff0000	ahpC_rpsU	Q.not.R
sdhA	acnB	52	#228b22	sdhA_acnB	R.and.Q
ihfA	rimM	378	#ff0000	ihfA_rimM	Q.not.R
flgH	flgF	130	#228b22	flgH_flgF	R.and.Q
icd	trmD	212	#ff0000	icd_trmD	Q.not.R
ptsI	hupA	340	#228b22	ptsI_hupA	R.and.Q
prpR	phnC	357	#ff0000	prpR_phnC	Q.not.R
